text,lang,offensive_manual,abusive_manual
"Ja vorig jaar alles wat los en vast zit winnen met het Feyenoord super team in jullie nek, en dit seizoen de handdoek in de ring mooie club zijn jullie.",nl,1,0
Zowel de 1e als 2e helft als snurkers uit de kleedkamer....,nl,1,0
En meteen zijn contract  verlengen.,nl,0,0
Tijd voor revanche,nl,0,0
Sterk hoor! Hou dit aub vol en niet weer een helftje goed,nl,0,0
Benieuwd naar booth vanaf de basis.,nl,0,0
"Wat denk je van van Wolfswinkel, ieder tikje lag die op de grond",nl,0,0
Dit seizoen is zo pijnlijk… wat een achterstand op de bovenste 2 plekken. Beschamend,nl,0,0
Wat een wissels,nl,0,0
Heb em niet gemaakt.🤷‍♂️🤷‍♂️🤷‍♂️🤷‍♂️,nl,0,0
Dat qas een goeie 1ste helft jammer van de fout maar we hebben nog een helft gaat vast goed komen. En die scheids moet ff langs specsavers want zoveel overtredingen en niks doen tja... maar ik blijf positief come on boys ❌️❌️❌️,nl,0,0
"Pffff belangrijk, maar was niet best…",nl,0,0
Je matties gaan je uithalen voor deze reactie,nl,1,1
"Dat mag de VAR wel want uit de corner komt een doelpunt. Dan checkt de VAR de aanval, in dit geval dus de corner en die werd niet goed genomen.",nl,0,0
Kanker homo shirt. Brengt ook ongeluk. Tyfus Puma.,nl,1,1
Wtf is dit 🤣,nl,1,0
Gas geven!❌❌❌,nl,0,0
Gele zijde be like,nl,0,0
De 1e actie is gelijk dramatisch.,nl,1,0
Als El karouani bij de 2-4 niet als een dolle hond instapt heeft die spit nooit zoveel vrijheid,nl,0,0
"Je naam past niet op een melodie, je was geen geweldenaar en bij de eerste kans vertrok je naar NEC. Daarom werd je niet toegezongen denk ik",nl,0,0
"Dit is en blijft het mooiste shirt van Nederland.
Groet, Jerry.",nl,0,0
Helemaal mee eens!,nl,0,0
Congratssss twente👏👏👏,nl,0,0
Schandalige eerste helft.,nl,1,0
En geen kaart dan ?,nl,0,0
Flikker op met die idioot! Zet dan Bounida erin… man man man,nl,1,1
Anders rood,nl,0,0
"Dat kan, maar dan is het verkeerd gespeld.",nl,0,0
Gaat van kwaad tot erger😭,nl,0,0
Juist en Steward en Brandts erbij kneuzen,nl,1,0
"O21, onze hoop in bange dagen.",nl,0,0
"Prachtige wedstrijd, heb er met genot naar gekeken!",nl,0,0
"Elke keer hetzelfde liedje. Beschamend. Je kunt het vooraf al uittekenen. Tegenstander zet hoog druk. NEC kan daar niet mee omgaan omdat de kwaliteit ontbreekt. 
En omdat de trainer het niet kan oplossen. 
De waarde op het veld van Aalbers zien we geen enkele keer terug.",nl,0,0
kan je niet slapen admin? nog aan het nagenieten zeker 😍,nl,0,0
Wisselen….en vastzetten,nl,0,0
Terug naar de amateurs !!!,nl,0,1
Ik ben echt woest gewoon man,nl,0,0
Sterkte gewenst aan alle nabestaanden van Arie.,nl,0,0
neem mij aan als asissitent! effe de wind door het team! ff orde op zaken stellen gvd,nl,0,0
"Was heel mooi, als er een foto van het shirt is, willen jullie deze dan posten.",nl,0,0
Idd geen rode kaart. Maar stop aub alleen maar met centrale verdedigers te gaan spelen bij een voorsprong. Dit is zeker al de 6e keer dat dit gewoon niet werkt. Er was niks aan de hand daarvoor.,nl,0,0
Alvast wat jurisprudentie @NACnl,nl,0,0
Kunnen we niet hele het elftal in de verkoop gooien met deze instelling,nl,1,0
Graag je account verwijderen,nl,1,0
Hahaha wat een heerlijk cultfiguur deze man.,nl,0,0
Lekker jongens goed bezig 😀,nl,0,0
Zekerz! Onze redder in nood!,nl,0,0
Van dit jeugdteam moet je winnen,nl,1,0
Bosz en Luuk out man man man Ajax toch de kampioenschap?,nl,1,0
Buurmeester was schandalig slecht aan de bal. #nacaz,nl,1,0
Is het dan niet beter om Henderson te starten om voldoende coaching te hebben in het veld?,nl,0,0
Lekker gedaan!,nl,0,0
Gelukkig komt Feyenoord weer bijzonder scherp uit de kleedkamer .....,nl,1,0
Goed opstelling,nl,0,0
Frenkie De Jong against Modric,nl,0,0
Zerrouki ruilen voor Steijn?,nl,0,0
Hij kan zich melden bij de balie om te betalen.,nl,0,0
Wanvertoning vanuit Zeist,nl,1,1
"Pleur die trainer eruit ( ja, het staat 3-0 )",nl,0,1
@demajoor1979  dan weet je wat je te doen staat,nl,0,0
Noa is een Ajacied.,nl,0,0
"Weer met een schijterige opstelling begonnen, precies zoals de andere verlies partijen. Heb dit nu al drie keer geroepen dat die trainer een schijtbak is. Eruit met hem",nl,1,1
Goed voorbeeld doet hopelijk volgen!,nl,0,0
Volgens mij hebben we zelfs vorig seizoen niet zulke slechte verdedigende wedstrijden gespeeld joh.,nl,1,0
Gaan we weer ... 😟,nl,1,0
Die n#g#rs…..je hebt er ook niets aan!,nl,1,1
En Vlap op links om precies welke reden?,nl,0,0
"Toch wel fijn hè dat Krastev basis staat, telraam mee voor PEC?",nl,1,0
Technische staf en selectie rechterrijtje KKD niveau,nl,1,0
Hoe kunnen ze nou net zo vaak gelijk gespeeld hebben?,nl,0,0
"Het Verre Zuiden, wat een end 😂",nl,0,0
Samenvatting van vandaag in één beeld #spanec,nl,0,0
Welke wedstrijd zit jij te kijken? 👀,nl,0,0
Iedere ploeg zakt in en doet niks. Vervolgens door blessures en geen brede selectie heb je de kwaliteit niet om dan te scoren,nl,0,0
Wat een slechte scheidsrechter hebben we vanavond. Elke overtreding van AZ wuift hij weg en elk klein  duwtje van feyenoord blaast hij voor.,nl,0,1
Tukkers nu,nl,0,0
I just love psv. Best in Netherlands,nl,0,0
Go Ahead uit altijd lastig.,nl,0,0
Dankjewel voor de 1-0,nl,0,0
Laatste maanden levert hij geen strijd meer,nl,0,0
"Compleet op jezelf afgeroepen en door veel Ajacieden voorspeld bij het zien van de opstelling. De bal is geen 30 seconden in de ploeg gebleven en je begint een bagger voorhoede. 
2e plaats ga je nog voor de winterstop kwijtraken.",nl,0,0
Echt een onhandige plek om die foto’s te nemen…,nl,0,0
Beetje slimmer moeten wisselen.. Je roept het nu over jezelf af. Niet de eerste keer trouwens. Magere voorsprong proberen te verdedigen door het team door elkaar te gooien en te eindigen in een 6-4-0 systeem..,nl,0,0
Hey Jan je bent een hoerenjong!,nl,0,1
"Ik vind dit weer wanbeleid. Waarom niet de opvolger van Boscagli alvast halen????

Gvd niet eens 1 cv op de bank. Dat kan gewoon niet. Stelletje prutsers.",nl,1,0
Eindelijk en nu door,nl,0,0
Het is al een diep dal…,nl,0,0
"Priske
Met ze Deense vrouwe er uit
Dtk er uit
En al helemaal die sletjes die denken dat ze geld hebben en geen leven hebben",nl,0,1
"En allemaal maar zo roepen dat die Priske het zo goed doet en een voldoende heeft gehaald.
Die krijgt hij alleen maar omdat hij geluk heeft gehad in Europa, maar de realiteit is dat je eind jan met lege handen staat.",nl,0,0
Leren ze bij Ajax in de jeugd niet dat ze nooit door het midden moeten uit verdedigen,nl,0,0
Graag je bek houden,nl,1,1
Die gaat er af zo,nl,0,0
Wat een blunder van Lars,nl,1,0
"Chapeau, 1 schot op doel! Daar kunnen we mee verder.",nl,1,0
Bas Kuipers is een Tukker,nl,0,0
"Echt niet normaal dit seizoen. Veel, maar ook lange blessures",nl,0,0
Baas opstellen 😂 dan snap je er geen klote van! Dan weet je niet wat je moet doen als je op niveau wilt winnen #ajax,nl,1,0
nait best dit,nl,0,0
"Cruijff dat is toch diegene met die domme uitspraken. Zoals als je leeft leef je, klopt je hart niet meer ben je dood.",nl,1,0
"0-4
Pasveer",nl,0,0
laten we het ook hierbij houden 🙃🙃,nl,0,0
Klopt maar is wel rcv Kaplan niet,nl,0,0
Yes!!! Puntje erbij ✊🏼 #utrproat,nl,0,0
Our spits kan er geen pleuris from,nl,1,1
here  we go,nl,0,0
Waar was Van der Kust of Van Aanholt om de terugstuiterende bal weg te loeien ??,nl,0,0
Klansloos echt...ongelooflijk,nl,1,0
"Ik dacht dat ik de enige was die een hekel had aan de commentator, maar er zijn er zoveel.",nl,1,0
"Ga ik beroep!!

2x geel is rood!!!",nl,1,0
Leuk en aardig allemaal. Maar kunnen we de restverdediging weer op orde krijgen. What the fuck man.,nl,1,0
"Ik wilde echt deze wedstrijd afwachten met een eventuele voorspelling, maar we gaan echt 2de worden..!!",nl,0,0
Zo jammer 🥲 ze hadden zeker de nul-nul kunnen houden ❤️💪🏻,nl,0,0
Dat je achter staat tegen een droevig 020 zegt meer over jezelf dan de wedstrijd..!! Wedstrijd tegen Bayern heeft veel verbloemd,nl,0,0
"Bacuna, wat een power 💪🏽💪🏽",nl,0,0
"Ja joh, heb er geen reet verstand van 😉",nl,0,0
Wat een ongelofelijke held is dit toch ❤️,nl,0,0
"Free Read en Adreev. Rest is prima, gezien je geen gezonde concurrentie hebt gehaald.",nl,0,0
"Verdedigend wel, maar aan de bal heb ik mijn twijfels",nl,0,0
"Lekker, onze Godenzoon; mister 1e doelpunt voor Ajax  @DavyKlaassen !!!",nl,0,0
Doen jullie die bomberjacks nu in de aanbieding na deze wanvertoning in Eindhoven?,nl,1,0
Wat zijn jullie genaaid zeg,nl,0,0
Dat hij af en toe wat witte lijntjes nam maakt hem geen crimineel.,nl,1,0
Rot op met dat inteelt feest,nl,1,1
"Hwang geblesseerd, daarvoor in de Plaats Zerrouki. 😨",nl,0,0
Zat eraan te komen 😔,nl,0,0
Brobbey hou eens op met dat eeuwige gejank. We staan ermee voor aap,nl,1,0
"Beetje op een trommel tikken terwijl je zelf even wat stewards het ziekenhuis in ramt, ja geweldige support!",nl,1,0
"Vraag me dan toch af hoe een Hato, Sutalo en Baas alles kunnen spelen maar de rest moet steeds gerouleerd worden",nl,0,0
"Mooi dat die waardeloze voetballer niet mee doet volgende week, pakken we weer een keer drie punten",nl,0,1
Respect jongens. Genoten van jullie afgelopen week en vanavond 👏💪. Nu ook die bekerfinale gaan winnen. Gun het jullie van harte.,nl,0,0
Lekker ding💪🥰,nl,0,0
Wat een geluk.,nl,0,0
"Écht triest zo een reactie...
Ben je dan een neppert!
🤮🤮🤮",nl,1,0
Jammer. Had 'm graag in de 80e minuut zien invallen. 🇳🇬,nl,0,0
"wat is de achterliggende gedachte van deze dozen ?

#Angst van de @GemeenteUtrecht voor een voetbalwedstrijd 

#Uitzichtloos het beleid van de @knvb

#Onzeker of een wedstrijd wel of niet doorgaat ivm @POL_Utrecht stakingen, bv #UTRFEY",nl,1,0
"Penalty niet gegeven en een onterechte rode kaart, arbitrageniveau was ook om te janken. Hopelijk wordt die rode kaart nog gesponeerd, want Young speelde duidelijk de bal",nl,1,1
wat een kut penalty,nl,1,0
"En weer een scheids die het ""niet goed ziet"", anti NAC 🤮🤮 @KNVB doe er iets aan! Walgelijke organisatie met zulke slechte scheidsrechters en VARren. Schaam je dood @KNVB",nl,1,1
Deze mannen... zo goed.,nl,0,0
"Sorry  hoor maar die keeper was te laat dus strafschop en een rode kaart ,andere situatie Weghorst door gebroken wel of geen strafschop is wat je ziet maar ook rood ipv geel .",nl,0,0
"Zegt wat over de intelligentie van de @HeraclesAlmelo - fans. Niet bijster slimme actie...Een beetje slim persoon had van te voren,voordat iedereen al aan het slapen was gebeld met het hotel voor informatie.",nl,1,1
We doen het prima tot nu toe!,nl,0,0
Positie van Martens en Huiberts zwaar onder druk,nl,0,0
Organisatie wat weg zonder trauner en whang,nl,0,0
Zet Redmond er maar in hoor,nl,0,0
Bietje boos?,nl,0,0
"""ingewikkeld verhaal met toch een vervelende uitkomst""

Ja dat zal wel weer, ze zullen ook eens een keer hun nek uitsteken voor de supporters",nl,0,0
Twente heeft goed gespeeld,nl,0,0
Je bolle moedee,nl,1,1
"Hahaha lekker man, op naar 3-0!!!",nl,0,0
"En dat na ruim een uur spelen. T'is maar waar je trots op bent.
#tweNEC
#Meijerout",nl,0,0
"Branco statisch beste optie

Beste middenvelders dit seizoen

BOVENGEMIDDELD
Klaassen 7,27
Van den Boomen 7,21
Henderson 7,15
Taylor 7,14 ⏪

GEMIDDELD 7,06
Ajax Eredivisie seizoen 24/25

ONDERGEMIDDELD
Hlynsson 7,00 ⏪
Mannsverk 7,00
Berghuis 6,87
Fitz Jim 6,74 ⏪
Tahirović 6,30",nl,0,0
Tja ik dacht hetzelfde,nl,0,0
Geen var aanwezig??,nl,0,0
"Hwang nu al één van mijn favoriete spelers in dit elftal, gaan we nog veel van genieten!",nl,0,0
Oh we speelden niet thuis??? Het had er zoveel van weg!,nl,0,0
“De slechte Ajax spits ooit” en “dit seizoen” in 1 zin.. 😂😂😂,nl,1,1
"@espn en anti schildkamp wat zijn jullie aan het zoeken om de zuivere goal af te keuren!!!! 
Jammer he hij teld gewoon",nl,0,1
Gewoon ff stilzitten als je geschoren wordt!,nl,0,0
Mario Been,nl,0,0
Kom op mannen. Laat zien dat we Gimenez niet nodig hebben!!!,nl,0,0
Één punt uit zeven wedstrijden. Na donderdag zeer waarschijnlijk één punt uit acht wedstrijden.,nl,0,0
Dit is de boosdoener dat er punten en wedstrijden verloren gaan en de coach wil het niet elke week uit de start 11 halen.,nl,1,0
Hahahah wat een schande 😆,nl,1,0
Wat een bizarre week.. van toch behoorlijk ondermaats spelen met al wel een beter idee naar gruwelijk goed onder druk uit spelen en 21! Kansen creëren tegen psv en woensdag Feyenoord amper tot een goede kans laten komen😎 we zijn op de terugweg naar waar we horen ❤️,nl,0,0
"Een aantal restricties blijft echter overeind, zoals een gebiedsverbod en de vrijheid om je te uiten als PSV-fan.

Door de winst in het kort geding is de reputatie van PSV en haar supporters gezuiverd en dat stemt uiteraard tot tevredenheid. Ook met het oog op de wedstrijd tegen Stade Brest in december is dat een belangrijk signaal.",nl,0,0
Mag hopen dat dit foto’s zijn van afgelopen woensdag.. die kutnetten verzieken mijn hele TV ervaring..,nl,1,0
Geen echte Feyenoorder dus,nl,0,0
Givairo neem mn wifey je mag dr hebben,nl,0,0
Dat worden we jammer genoeg nog niet als we winnen.,nl,0,0
"Ten eerste geen rood, desondanks riep Oosting het over zichzelf af met die verdedigende wissels en paniekvoetbal.
Hopelijk leert Oosting ervan. Met 10 man kun je namelijk nog steeds beter voetballen dan heerenveen.",nl,0,0
"Gaaei is in potentie een geweldige rechtsback. Vandaag was een voorproefje. 

Farioli echter, schaam je. Je parkeert de bus niet vanaf minuut 45.",nl,1,0
"Schaam je kapot! 

Absolute wanvertoning",nl,1,0
Hopen op die Perisic - Luuk link-up,nl,0,0
Lammer en sadeliek waar niet,nl,0,0
"Hem Ollie noemen is echt gay
Past niet bij een Viking",nl,1,0
1 ding scheelt. We hoeven niet bang te zijn dat er spelers verkocht worden in de winterstop.,nl,1,0
Verdonk starting🙌,nl,0,0
Ontbinden van zijn contract een optie?,nl,1,0
Ophouden met dat moeilijke voetbal….. valente en stam ook gauw wisselen,nl,0,0
Gewoon lange ballen op de beste kopper van de wereld misschien?,nl,0,0
"Lekker je voetbalvisie volhouden van Persie!😭 Attractief, snel, aanvallend voetbal, het publiek vermaken! 😂 Het publiek van de tegenpartij wordt zeker vermaakt! 😂😂😂 Lekker doorgaan zo Robin!",nl,1,0
2e goal was een wereldgoal!,nl,0,0
"Maes out, kut voetbal",nl,0,1
"Luuk is en blijft een held, maar het is wel #Pepi time wat mij betreft! 🔴⚪️",nl,0,0
"Volgens verslaggever ESPN als Utrecht meer druk zet, zij van Ajax kunnen winnen, hij vindt het spel  van Ajax matig tot niets. Wat een idioot.",nl,0,1
Kom op Ajax vanuit Sarasota Florida 🇺🇸🇳🇱🇺🇸,nl,0,0
"De minuut waarin zoiets gebeurt, zou geen enkele invloed op zo’n beslissing mogen hebben.",nl,0,0
Va daag een collega (fey fan) een granny smith appel gegeven. Om hem ff door de zure appel heen te laten bijten. Werd niet echt gewaardeerd 🙈🤣,nl,1,0
Come on Go Ahead Zwolle... Aanstaande 2 wedstrijden ook lekker verliezen.,nl,1,0
Wat doet Gimenez in godsnaam bij deze bal? Sukkel,nl,0,1
Op basis van wat komt u hierbij?,nl,0,0
Totaal onnodig…Sauer kreeg de ruimte….,nl,0,0
Moet echt wat bij achterin.,nl,0,0
Wordt misselijk van deze line up,nl,1,0
Bij deze gefeliciteerd alle Ajacieden met t behalen van kampioenschap,nl,0,0
"Doorzetten en eroverheen in de 2de helft. Wat speelt Henderson een dijk van een wedstrijd, wat een rust aan de bal. LETS FK GOO BOYS❌❌❌",nl,0,0
We moeten niet die kansen zo makkelijk weggeven maar die scheids holy shit wat slecht fluit alles tegen ons,nl,0,1
Wanneer krijgen wij eens een VAR moment mee? En 4 minuten blessuretijd..?,nl,0,0
bal via het bovenbeen op de arm is geen hands,nl,0,0
Ongelofelijk zwakke 1e helft zeg. Continu slecht uitverdedigen en nog geen 3 ballen op hun helft kunnen spelen,nl,1,0
"Ga je mond spoelen met zeep, jij gaat in de blokkendoos.",nl,0,0
DOEIIIIII DOEIIIIIII,nl,0,0
Ongelofelijk dit,nl,0,0
Zet Baas dan gewoon linksback🤷‍♂️,nl,0,0
Rugani zit op de bank,nl,0,0
Ga eens voetballen?,nl,0,0
"Tyf jij lekker op tering kneus, Hoop dat je al je geld verloren hebt",nl,0,1
Update omtrent Berghuis???,nl,0,0
"Weghorst en Brobbey.. maar we zien nogsteeds Akpom..  alsjeblieft, alsjeblieft stop",nl,1,0
Je bent supporter van de verkeerde club,nl,0,0
Of we op tijd binnen zijn ligt aan hoe snel de controles gaan. #hekopen,nl,0,0
Deze kerel heeft ook gestreden voor elke vierkante cm!,nl,0,0
Precies dit! Hele seizoen raakt die pannenkoek geen knikker maar uitgerekend nu schiet ie m erin! Veel beter wordt het niet 🤣,nl,1,0
"Zeg dat tegen die vreselijk slechte supporters die 60 min lang de scheids uitschelden voor hoerenzoon, en niet hun ploeg steunen. En na de 0-2 stil vallen en/of het stadion verlaten. Het is niet voor het eerst. Noa Lang noemde het een paar weken geleden terecht. Totaal geen steun",nl,1,1
Beter dan als een zwakbegaafde een eet-tentje slopen en de mensen die erin werken aanvallen. 👋,nl,1,1
Zet brobby er in en weghorst eruit aub,nl,0,0
"Dit is toch niet te doen? Maak dan een filmpje over Eindhoven of whatever. Wel mooi dat ze vol de aandacht op een Ajax legend hebben en vervolgens een sticker plakken die Ajax boven PSV plaatst. Ajax, de lat waar elke club in Nederland zich aan probeert te meten.",nl,0,0
3 punten erbij! 🎉,nl,0,0
Ltaief geblesseerd?,nl,0,0
"Die kan niet rennen, wellicht naar een bowlingclub.",nl,0,1
Zerrouki gaat je de wedstrijden kosten als die zo blijft voetballen,nl,1,0
Waar was die tegen ajax??? 😭😭😭🫵🏼🫵🏼🫵🏼🫵🏼🫵🏼,nl,0,0
Domme actie van Bokila.,nl,0,0
Dat je bedankt durven schrijven. 4 of 5 stewards het ziekenhuis in slaan. Je zouden je kapot moeten schamen.,nl,1,0
Misschien gewoon eens blijven voetballen ipv tegenhouden,nl,0,0
Enig lichtpuntje Booth.,nl,0,0
Haal Traore van die rechtsbuitenpositie af,nl,0,0
Stop hier a.u.b. mee😭😭😭😭😭😭😭😭😭😭,nl,0,0
Tijd dat de fysio staf ook eens wat aan gedaan gaat worden,nl,0,0
"Krijg allemaal de k@nk#r daar, schijtboeren!",nl,1,1
"Jup. 
Staat nog stil bij ons. 

Jullie dan?",nl,0,0
U snapt het vaak. Nu weer.,nl,0,0
"Ik wist het wel, las het deze week hier. Denk niet algemeen bekend. Wel een prachtig initiatief. Zit zelf op de thuistribune",nl,0,0
"MOETEN ,MOETEN 3 punten naar Zuid mee nemen!!",nl,0,0
Wat weet zerrouki van priske dat wij niet weten?,nl,1,0
trieste kaal ventje,nl,0,1
Wat een heer-lij-ke aanval 🥵,nl,0,0
Ik vind het wel grappig hoe een vlap en Oosting tegen deze wedstrijd aankeken. Twente was volgens hun dominant en creëerde genoeg kansen. Volgens Oosting verdiende ze ook meer. Was er bij ESPN een andere wedstrijd opgezet dan in het stadion te zien was?,nl,0,0
Rots had die bal gewoon moeten prikken….,nl,0,0
Goedemorgen Jopie,nl,0,0
Was een leuk feestje ☺️😇,nl,0,0
"Feyenoord slecht, Sparta slordig. 
Gemiste kans om de club van Zuid de eerste nederlaag te bezorgen. 
Aan de andere kant, wederom een punt in de knip.",nl,0,0
Waar de fuck is Schouten nu weer man,nl,0,1
Tokkie Nederland weer in de stress. Ze vinden het prima wanneer Ajax een kerstgroet brengt maar nu totale paniek. Heel goed Ajax en trots op mijn cluppie👍,nl,1,0
Ik word niet goed,nl,0,0
Direct bij de strot grijpen en doorbijten bij die gasten. Geen genade en bloed aan de schoenen,nl,1,0
Jaja Mexxie Meerdink!,nl,0,0
"Wat kan Oosting hier aan doen. Je denkt weer 5 minuten zo, zo ze beginnen goed,en dan weer helemaal niks, onzeker, fouten etc😫",nl,0,0
Waardeloos!!!!,nl,1,0
"Wat is dit ineens voor slappe hap man, dek eens door",nl,1,0
Poeh lijkt wel een staking!,nl,0,0
Ik zal er zijn!,nl,0,0
PSV stond 3 punten achter in 2019 grapjas. Werd net als PSV dat jaar uitgeschakeld tegen Spurs in de CL.,nl,0,0
Brobbey kan echt niet 😭,nl,0,1
Is toch niet meer te doen dit 😅😅,nl,0,0
Wat een ezel die Ünüvar!,nl,0,1
Wat een ontwikkeling heeft hij doorgemaakt. 👏🏻,nl,0,0
PSV onwaardig,nl,1,0
Er waren genoeg anderen in de buurt op dat moment. Niemand heeft Garbett dus iets horen zeggen.  Garbett zelf spreekt maar amper Nederlands. Zou Bokila dit verhaal gebruiken om zijn eigen wangedrag goed te praten?,nl,0,0
Die kut Turk wordt straks zeker in zijn reet genekt door die neuzen.  Grijpt totaal niet in bij tijdrekken.,nl,1,1
Heerlijke eerste pot sinds 18 augustus🔥🔥🔥,nl,0,0
Waar is het uitshirt van dit seizoen?,nl,0,0
Wat een kut scheidsrechters,nl,1,1
"Nee dus, want stond al op geel, dan had ie er af gemoeten?",nl,0,0
"0-2, beide goals Mito",nl,0,0
Vandaag een blije Blauwvinger!!,nl,0,0
Door jouw antwoord vind ik het nu wel heerlijk dat de 3 punten binnen zijn 🤣🤣🤣,nl,0,0
Beter kappen ook met die kut voetballers van Zwolle en Twente enzo halen. Doe het dan maar met eigen jeugd,nl,1,0
Terecht! Hele goede pot van Peer.,nl,0,0
Jullie hadden ter compensatie de scheids/var,nl,1,0
"bang steijn, he's back😎🤙",nl,0,0
"Rots spits, vlap  linksbuiten",nl,0,0
Wtf wat lekker!!,nl,0,0
Ready voor de nederlaag!,nl,1,0
Hoe slecht zijn jullie dan wel niet,nl,1,0
Wellenreuther zijn laatste wedstrijd als eerste keeper mag ik aannemen,nl,0,0
Die scheidsrechters bedoel je?,nl,0,0
Ueda is net zo schandalig als Zerrouki,nl,1,0
Admin is voor feyenoord 😲,nl,0,0
Groep 8 zoiets in elkaar laten plakken is ook niet slim hè🤣,nl,1,0
Schandalig hoe trouwe supporters ontvangen worden tegenwoordig!!!,nl,0,0
Klaar lichte dag corruptie weer,nl,1,0
"Van Persie is hard op weg om ""Super"" Mario Been op te volgen bij Espn!",nl,1,0
Speech gegeven zeker,nl,0,0
Veel te grote muil weer godverdomme,nl,1,0
18 graden en lichtbewolkt ☁️,nl,0,0
Noppert hetzelfde virus als Olsson?,nl,0,0
"Manschot verpest weer een wedstrijd, kanker VAR doet weer niks",nl,1,1
Recht op de keeper geschoten en keepersblunder 🤣 maar hij telt,nl,0,0
Holy fuck. Waar sta ik naar te kijken?!!,nl,1,0
Heeft iemand Mijnans nog zien spelen? Hoe kan hij nou elke wedstrijd starten? Laat al weken niks zien…,nl,1,0
Om je kapot te schamen wat slecht weer,nl,1,0
"2 grote en pijnlijke conclusies tot heden voor zo ver ik verstand heb;
1. Beelen heeft meer punten gekost dan Zerrouki.
2. Rechterkant heeft de meeste tegendoelpunten gekost dan welke zijde dan ook.
Keerzijde is wel dat er met paar kleine verbeteringen grote mogelijkheden zijn.",nl,0,0
Zeker weten. Maar dan moet de trainer de spelers ook op de juiste plek zetten. Wil Smans weleens een tijdje op zijn oude positie zien spelen en dan oordelen. Op 1 helft kan dat niet. Conde erbij en/of Olsson of Brouwers op 8.,nl,0,0
Baka moet de 3e maken maar die raakt al heel de avond geen pepernoot en de tegengoal is eigen schuld dikke bult,nl,1,0
Dat zou prettig zijn,nl,0,0
"Dit is een technisch mankement, dus niet de opstelling! 😉

Die volgt om 13:15 uur!",nl,0,0
@AjaxRadio midden in de nacht hier in Pattaya thailand .maar genieten van Ajax radio. Nog gauw 1 er bij aub. Groet frans markese,nl,0,0
Bammm!!! Afmaken die hap!!! Joduhhhh!!❌️❌️❌️,nl,0,0
Verdediging staat ook weer lekker 😍,nl,0,0
Zal GVD tijd worden ✔️,nl,0,0
Armoedige bende lopen naar huis gvd 🤡,nl,1,0
